Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,65.70,nan,nan
abs_diff_0-0-0,0.005489,91.24,nan,nan
abs_diff_0-0-1,0.019447,82.73,nan,nan
abs_diff_0-0-2,0.124755,67.83,nan,nan
abs_diff_1-0-0,0.128234,88.58,nan,nan
abs_diff_1-0-1,0.136191,77.67,nan,nan
abs_diff_1-0-2,0.187133,54.00,nan,nan
abs_diff_1-1-0,0.022558,100.28,nan,nan
abs_diff_1-1-1,0.032167,60.38,nan,nan
abs_diff_1-2-0,0.006437,73.15,nan,nan
abs_diff_2-0-0,0.034812,73.42,nan,nan
abs_diff_2-0-1,0.046416,50.27,nan,nan
abs_diff_2-0-2,0.140472,62.78,nan,nan
abs_diff_2-1-0,0.189514,70.49,nan,nan
abs_diff_2-1-1,0.194655,68.10,nan,nan
abs_diff_2-2-0,0.138146,101.35,nan,nan
abs_diff_3-0-0,0.046267,63.31,nan,nan
abs_diff_3-0-1,0.036142,42.03,nan,nan
abs_diff_3-0-2,0.147780,53.47,nan,nan
abs_diff_3-1-0,0.142590,77.14,nan,nan
abs_diff_3-1-1,0.194991,52.67,nan,nan
abs_diff_3-2-0,0.195916,84.32,nan,nan
abs_diff_4-0-0,0.036202,52.14,nan,nan
abs_diff_4-0-1,0.134448,44.42,nan,nan
abs_diff_4-1-0,0.148363,67.56,nan,nan
abs_diff_4-1-1,0.198554,39.37,nan,nan
abs_diff_4-2-0,0.196708,65.44,nan,nan
abs_diff_5-0-0,0.036202,52.67,nan,nan
abs_diff_5-0-1,0.135528,54.00,nan,nan
abs_diff_5-1-0,0.189209,35.91,nan,nan
abs_diff_5-2-0,0.199468,54.53,nan,nan
abs_diff_6-0-0,0.036202,52.67,nan,nan
abs_diff_6-0-1,0.135528,54.26,nan,nan
abs_diff_6-1-0,0.190510,44.69,nan,nan
abs_diff_7-0-0,0.035190,34.31,nan,nan
abs_diff_7-0-1,0.135528,54.26,nan,nan
abs_diff_7-1-0,0.190510,43.62,nan,nan
abs_diff_8-0-0,0.034790,24.74,nan,nan
abs_diff_8-0-1,0.135491,35.91,nan,nan
abs_diff_8-1-0,0.190510,43.62,nan,nan
abs_diff_9-0-0,0.135761,26.07,nan,nan
abs_diff_9-1-0,0.190413,26.33,nan,nan
abs_diff_10-0-0,0.190623,17.29,nan,nan
