Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,208.54,nan,nan
adder32_0-0-0,0.000716,192.32,nan,nan
adder32_0-0-1,0.000004,189.66,nan,nan
adder32_0-0-2,0.000004,183.81,nan,nan
adder32_0-0-3,0.238700,202.96,nan,nan
adder32_0-0-4,0.011644,195.78,nan,nan
adder32_0-0-5,0.000000,200.30,nan,nan
adder32_0-0-6,0.000000,199.50,nan,nan
adder32_0-0-7,0.000001,201.36,nan,nan
adder32_0-0-8,0.000000,195.78,nan,nan
adder32_1-0-0,0.000716,191.52,nan,nan
adder32_1-0-1,0.000004,187.26,nan,nan
adder32_1-0-2,0.000004,181.94,nan,nan
adder32_1-0-3,0.238700,200.03,nan,nan
adder32_1-0-4,0.011644,195.51,nan,nan
adder32_1-0-5,0.000000,198.17,nan,nan
adder32_1-0-6,0.000000,194.71,nan,nan
adder32_1-0-7,0.000001,201.10,nan,nan
adder32_1-0-8,0.000000,197.11,nan,nan
adder32_1-1-0,0.000716,190.46,nan,nan
adder32_1-1-1,0.000004,186.47,nan,nan
adder32_1-1-2,0.000004,182.21,nan,nan
adder32_1-1-3,0.238700,197.90,nan,nan
adder32_1-1-4,0.011644,194.45,nan,nan
adder32_1-1-5,0.000000,197.11,nan,nan
adder32_1-1-6,0.000001,199.50,nan,nan
adder32_1-1-7,0.000000,193.65,nan,nan
adder32_1-2-0,0.000717,183.81,nan,nan
adder32_1-2-1,0.000004,180.08,nan,nan
adder32_1-2-2,0.000004,173.70,nan,nan
adder32_1-2-3,0.238700,194.18,nan,nan
adder32_1-2-4,0.011644,190.19,nan,nan
adder32_1-2-5,0.000001,191.52,nan,nan
adder32_1-2-6,0.000000,190.99,nan,nan
adder32_2-0-0,0.000716,185.67,nan,nan
adder32_2-0-1,0.000004,181.94,nan,nan
adder32_2-0-2,0.000004,179.55,nan,nan
adder32_2-0-3,0.238700,196.04,nan,nan
adder32_2-0-4,0.011644,190.99,nan,nan
adder32_2-0-5,0.000000,196.84,nan,nan
adder32_2-0-6,0.000000,192.85,nan,nan
adder32_2-0-7,0.000001,194.45,nan,nan
adder32_2-0-8,0.000000,188.59,nan,nan
adder32_2-1-0,0.000716,189.66,nan,nan
adder32_2-1-1,0.000004,181.94,nan,nan
adder32_2-1-2,0.000004,176.89,nan,nan
adder32_2-1-3,0.238700,197.11,nan,nan
adder32_2-1-4,0.011644,189.66,nan,nan
adder32_2-1-5,0.000000,196.84,nan,nan
adder32_2-1-6,0.000001,200.03,nan,nan
adder32_2-1-7,0.000000,190.72,nan,nan
adder32_2-2-0,0.000716,184.87,nan,nan
adder32_2-2-1,0.000004,180.35,nan,nan
adder32_2-2-2,0.000004,177.42,nan,nan
adder32_2-2-3,0.238700,195.24,nan,nan
adder32_2-2-4,0.011644,188.06,nan,nan
adder32_2-2-5,0.000000,192.58,nan,nan
adder32_2-2-6,0.000001,194.45,nan,nan
adder32_2-2-7,0.000000,187.26,nan,nan
adder32_3-0-0,0.000716,183.81,nan,nan
adder32_3-0-1,0.000004,179.82,nan,nan
adder32_3-0-2,0.000004,169.71,nan,nan
adder32_3-0-3,0.238700,190.19,nan,nan
adder32_3-0-4,0.011644,187.80,nan,nan
adder32_3-0-5,0.000000,188.86,nan,nan
adder32_3-0-6,0.000001,189.92,nan,nan
adder32_3-0-7,0.000000,184.87,nan,nan
adder32_3-1-0,0.000716,181.94,nan,nan
adder32_3-1-1,0.000004,179.82,nan,nan
adder32_3-1-2,0.000004,176.09,nan,nan
adder32_3-1-3,0.238700,190.72,nan,nan
adder32_3-1-4,0.011644,185.93,nan,nan
adder32_3-1-5,0.000000,185.93,nan,nan
adder32_3-1-6,0.000001,193.38,nan,nan
adder32_3-1-7,0.000000,185.40,nan,nan
adder32_3-2-0,0.000716,179.55,nan,nan
adder32_3-2-1,0.000004,175.56,nan,nan
adder32_3-2-2,0.000004,172.10,nan,nan
adder32_3-2-3,0.238700,190.19,nan,nan
adder32_3-2-4,0.011644,179.02,nan,nan
adder32_3-2-5,0.000000,173.17,nan,nan
adder32_3-2-6,0.000000,189.13,nan,nan
adder32_3-2-7,0.000001,189.13,nan,nan
adder32_3-2-8,0.000000,180.88,nan,nan
adder32_4-0-0,0.000716,165.72,nan,nan
adder32_4-0-1,0.000004,165.45,nan,nan
adder32_4-0-2,0.000004,157.74,nan,nan
adder32_4-0-3,0.238700,172.90,nan,nan
adder32_4-0-4,0.011644,169.18,nan,nan
adder32_4-0-5,0.000000,171.04,nan,nan
adder32_4-0-6,0.000001,173.70,nan,nan
adder32_4-0-7,0.000000,174.23,nan,nan
adder32_4-1-0,0.000716,178.49,nan,nan
adder32_4-1-1,0.000004,175.56,nan,nan
adder32_4-1-2,0.000004,170.77,nan,nan
adder32_4-1-3,0.238700,186.47,nan,nan
adder32_4-1-4,0.011644,183.27,nan,nan
adder32_4-1-5,0.000000,184.87,nan,nan
adder32_4-1-6,0.000001,190.72,nan,nan
adder32_4-1-7,0.000000,184.87,nan,nan
adder32_4-2-0,0.000716,175.03,nan,nan
adder32_4-2-1,0.000004,165.98,nan,nan
adder32_4-2-2,0.000004,163.86,nan,nan
adder32_4-2-3,0.238700,184.34,nan,nan
adder32_4-2-4,0.011644,179.28,nan,nan
adder32_4-2-5,0.000000,178.49,nan,nan
adder32_4-2-6,0.000001,182.21,nan,nan
adder32_4-2-7,0.000000,179.82,nan,nan
adder32_5-0-0,0.000716,163.06,nan,nan
adder32_5-0-1,0.000004,163.32,nan,nan
adder32_5-0-2,0.000004,155.61,nan,nan
adder32_5-0-3,0.238700,170.77,nan,nan
adder32_5-0-4,0.011644,167.05,nan,nan
adder32_5-0-5,0.000000,165.98,nan,nan
adder32_5-0-6,0.000001,171.57,nan,nan
adder32_5-0-7,0.000000,172.10,nan,nan
adder32_5-1-0,0.000716,168.91,nan,nan
adder32_5-1-1,0.000004,165.45,nan,nan
adder32_5-1-2,0.000004,159.07,nan,nan
adder32_5-1-3,0.238700,178.75,nan,nan
adder32_5-1-4,0.011644,172.63,nan,nan
adder32_5-1-5,0.000000,176.89,nan,nan
adder32_5-1-6,0.000001,176.36,nan,nan
adder32_5-1-7,0.000000,172.63,nan,nan
adder32_5-2-0,0.000716,172.10,nan,nan
adder32_5-2-1,0.000004,166.78,nan,nan
adder32_5-2-2,0.000004,164.65,nan,nan
adder32_5-2-3,0.238700,180.88,nan,nan
adder32_5-2-4,0.011644,174.76,nan,nan
adder32_5-2-5,0.000001,176.89,nan,nan
adder32_5-2-6,0.000000,173.43,nan,nan
adder32_6-0-0,0.000716,155.88,nan,nan
adder32_6-0-1,0.000004,156.14,nan,nan
adder32_6-0-2,0.000004,150.56,nan,nan
adder32_6-0-3,0.238700,164.39,nan,nan
adder32_6-0-4,0.011644,159.07,nan,nan
adder32_6-0-5,0.000000,163.59,nan,nan
adder32_6-0-6,0.000001,165.98,nan,nan
adder32_6-0-7,0.000000,164.92,nan,nan
adder32_6-1-0,0.000716,165.45,nan,nan
adder32_6-1-1,0.000004,162.53,nan,nan
adder32_6-1-2,0.000004,161.46,nan,nan
adder32_6-1-3,0.238700,174.76,nan,nan
adder32_6-1-4,0.011644,168.38,nan,nan
adder32_6-1-5,0.000001,172.37,nan,nan
adder32_6-1-6,0.000000,167.31,nan,nan
adder32_6-2-0,0.000717,160.93,nan,nan
adder32_6-2-1,0.000004,160.93,nan,nan
adder32_6-2-2,0.000004,153.75,nan,nan
adder32_6-2-3,0.238700,169.18,nan,nan
adder32_6-2-4,0.011644,164.12,nan,nan
adder32_6-2-5,0.000001,171.84,nan,nan
adder32_6-2-6,0.000000,166.25,nan,nan
adder32_7-0-0,0.000716,151.89,nan,nan
adder32_7-0-1,0.000004,153.22,nan,nan
adder32_7-0-2,0.000004,146.57,nan,nan
adder32_7-0-3,0.238700,162.26,nan,nan
adder32_7-0-4,0.011644,158.00,nan,nan
adder32_7-0-5,0.000001,160.40,nan,nan
adder32_7-0-6,0.000000,160.93,nan,nan
adder32_7-1-0,0.000717,155.34,nan,nan
adder32_7-1-1,0.000004,154.81,nan,nan
adder32_7-1-2,0.000004,147.63,nan,nan
adder32_7-1-3,0.238700,163.06,nan,nan
adder32_7-1-4,0.011644,158.27,nan,nan
adder32_7-1-5,0.000001,166.25,nan,nan
adder32_7-1-6,0.000000,160.13,nan,nan
adder32_7-2-0,0.000717,158.27,nan,nan
adder32_7-2-1,0.000004,152.68,nan,nan
adder32_7-2-2,0.000004,150.56,nan,nan
adder32_7-2-3,0.238700,165.72,nan,nan
adder32_7-2-4,0.011644,162.53,nan,nan
adder32_7-2-5,0.000001,166.52,nan,nan
adder32_7-2-6,0.000000,163.32,nan,nan
adder32_8-0-0,0.000717,149.76,nan,nan
adder32_8-0-1,0.000004,150.82,nan,nan
adder32_8-0-2,0.000004,145.50,nan,nan
adder32_8-0-3,0.238700,159.07,nan,nan
adder32_8-0-4,0.011644,155.88,nan,nan
adder32_8-0-5,0.000001,162.53,nan,nan
adder32_8-0-6,0.000000,156.14,nan,nan
adder32_8-1-0,0.000717,149.49,nan,nan
adder32_8-1-1,0.000004,150.02,nan,nan
adder32_8-1-2,0.000004,142.84,nan,nan
adder32_8-1-3,0.238700,157.21,nan,nan
adder32_8-1-4,0.011644,152.42,nan,nan
adder32_8-1-5,0.000001,156.67,nan,nan
adder32_8-1-6,0.000000,149.23,nan,nan
adder32_8-2-0,0.000717,152.68,nan,nan
adder32_8-2-1,0.000004,147.63,nan,nan
adder32_8-2-2,0.000004,146.57,nan,nan
adder32_8-2-3,0.238700,161.73,nan,nan
adder32_8-2-4,0.011644,155.61,nan,nan
adder32_8-2-5,0.000001,163.06,nan,nan
adder32_8-2-6,0.000000,157.21,nan,nan
adder32_9-0-0,0.000717,138.32,nan,nan
adder32_9-0-1,0.000004,144.17,nan,nan
adder32_9-0-2,0.000004,138.05,nan,nan
adder32_9-0-3,0.238700,148.96,nan,nan
adder32_9-0-4,0.011644,143.37,nan,nan
adder32_9-0-5,0.000000,147.63,nan,nan
adder32_9-0-6,0.000001,154.81,nan,nan
adder32_9-0-7,0.000000,149.49,nan,nan
adder32_9-1-0,0.000717,145.50,nan,nan
adder32_9-1-1,0.000004,146.03,nan,nan
adder32_9-1-2,0.000004,138.59,nan,nan
adder32_9-1-3,0.238700,153.22,nan,nan
adder32_9-1-4,0.011644,150.02,nan,nan
adder32_9-1-5,0.000001,152.68,nan,nan
adder32_9-2-0,0.000717,148.16,nan,nan
adder32_9-2-1,0.000004,145.50,nan,nan
adder32_9-2-2,0.000004,141.51,nan,nan
adder32_9-2-3,0.238700,155.34,nan,nan
adder32_9-2-4,0.011647,152.42,nan,nan
adder32_9-2-5,0.000001,154.28,nan,nan
adder32_9-2-6,0.000000,151.35,nan,nan
adder32_10-0-0,0.000717,138.85,nan,nan
adder32_10-0-1,0.000004,139.65,nan,nan
adder32_10-0-2,0.000004,133.00,nan,nan
adder32_10-0-3,0.238700,144.97,nan,nan
adder32_10-0-4,0.011644,140.71,nan,nan
adder32_10-0-5,0.000001,145.50,nan,nan
adder32_10-0-6,0.000000,145.50,nan,nan
adder32_10-1-0,0.000717,135.66,nan,nan
adder32_10-1-1,0.000004,139.12,nan,nan
adder32_10-1-2,0.000004,133.00,nan,nan
adder32_10-1-3,0.238700,146.83,nan,nan
adder32_10-1-4,0.011644,142.31,nan,nan
adder32_10-1-5,0.000001,149.76,nan,nan
adder32_10-1-6,0.000000,139.12,nan,nan
adder32_10-2-0,0.000717,142.04,nan,nan
adder32_10-2-1,0.000004,139.12,nan,nan
adder32_10-2-2,0.000004,135.66,nan,nan
adder32_10-2-3,0.238700,153.48,nan,nan
adder32_10-2-4,0.011647,146.57,nan,nan
adder32_10-2-5,0.000001,151.35,nan,nan
adder32_10-2-6,0.000000,143.64,nan,nan
adder32_11-0-0,0.000717,131.67,nan,nan
adder32_11-0-1,0.000004,134.33,nan,nan
adder32_11-0-2,0.000004,128.74,nan,nan
adder32_11-0-3,0.238700,142.58,nan,nan
adder32_11-0-4,0.011644,135.93,nan,nan
adder32_11-0-5,0.000001,145.77,nan,nan
adder32_11-0-6,0.000000,137.26,nan,nan
adder32_11-1-0,0.000717,121.83,nan,nan
adder32_11-1-1,0.000004,130.34,nan,nan
adder32_11-1-2,0.000004,125.02,nan,nan
adder32_11-1-3,0.238700,138.32,nan,nan
adder32_11-1-4,0.011647,138.32,nan,nan
adder32_11-1-5,0.000001,140.71,nan,nan
adder32_11-2-0,0.000717,127.95,nan,nan
adder32_11-2-1,0.000004,134.60,nan,nan
adder32_11-2-2,0.000004,128.21,nan,nan
adder32_11-2-3,0.238700,147.36,nan,nan
adder32_11-2-4,0.011647,139.12,nan,nan
adder32_11-2-5,0.000001,145.50,nan,nan
adder32_12-0-0,0.000717,118.37,nan,nan
adder32_12-0-1,0.000004,124.75,nan,nan
