Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,208.54,nan,nan,Org
0,0.000000,199.50,nan,nan,adder32_0-0-6
1,0.000000,194.71,nan,nan,adder32_1-0-6
2,0.000000,192.85,nan,nan,adder32_2-0-6
3,0.000000,173.17,nan,nan,adder32_3-2-5
4,0.000000,171.04,nan,nan,adder32_4-0-5
5,0.000000,165.98,nan,nan,adder32_5-0-5
6,0.000000,163.59,nan,nan,adder32_6-0-5
7,0.000000,160.93,nan,nan,adder32_7-0-6
8,0.000000,149.23,nan,nan,adder32_8-1-6
9,0.000000,147.63,nan,nan,adder32_9-0-5
10,0.000000,145.50,nan,nan,adder32_10-0-6
11,0.000000,137.26,nan,nan,adder32_11-0-6
12,0.000001,135.66,nan,nan,adder32_12-0-5
13,0.000002,127.41,nan,nan,adder32_13-1-5
14,0.000002,125.55,nan,nan,adder32_14-0-5
15,0.000005,107.46,nan,nan,adder32_15-0-2
16,0.000005,110.12,nan,nan,adder32_16-0-1
17,0.000008,101.08,nan,nan,adder32_17-0-2
18,0.000012,101.08,nan,nan,adder32_18-0-2
19,0.000053,91.24,nan,nan,adder32_19-0-1
20,0.000059,85.39,nan,nan,adder32_20-0-1
21,0.000075,78.74,nan,nan,adder32_21-0-1
22,0.000767,75.54,nan,nan,adder32_22-0-0
23,0.000935,66.77,nan,nan,adder32_23-0-0
24,0.001019,63.84,nan,nan,adder32_24-0-0
25,0.001039,59.32,nan,nan,adder32_25-0-0
26,0.012222,54.53,nan,nan,adder32_26-0-1
27,0.014961,50.54,nan,nan,adder32_27-0-1
28,0.016532,44.69,nan,nan,adder32_28-0-1
29,0.016886,40.43,nan,nan,adder32_29-0-1
30,0.244669,38.57,nan,nan,adder32_30-0-0
31,0.274922,33.78,nan,nan,adder32_31-0-0
32,0.299192,28.20,nan,nan,adder32_32-0-0
33,0.313338,21.81,nan,nan,adder32_33-0-0
