Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.114032,84.32,nan,nan
2,0.199939,72.09,nan,nan
3,0.209804,59.05,nan,nan
4,0.213480,55.86,nan,nan
5,0.215625,40.96,nan,nan
6,0.217586,36.44,nan,nan
7,0.218413,35.91,nan,nan
8,0.219347,34.05,nan,nan
9,0.219884,32.45,nan,nan
10,0.219884,32.45,nan,nan
11,0.219884,32.45,nan,nan
12,0.219884,32.45,nan,nan
13,0.219884,32.45,nan,nan
14,0.219884,32.45,nan,nan
15,0.248652,32.45,nan,nan
16,0.248652,32.45,nan,nan
17,0.248652,32.45,nan,nan
18,0.248652,32.45,nan,nan
19,0.248652,32.45,nan,nan
20,0.248652,32.45,nan,nan
21,0.278033,32.45,nan,nan
22,0.278033,32.45,nan,nan
23,0.282054,17.02,nan,nan
24,0.282556,5.85,nan,nan
25,0.315223,4.79,nan,nan
26,0.317953,4.79,nan,nan
