Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,97.89,nan,nan
mac_0-0-0,0.023039,100.28,nan,nan
mac_0-0-1,0.022304,175.03,nan,nan
mac_0-0-2,0.178554,114.38,nan,nan
mac_0-0-3,0.130392,96.03,nan,nan
mac_1-0-0,0.134957,97.89,nan,nan
mac_1-0-1,0.137163,180.35,nan,nan
mac_1-0-2,0.293873,113.85,nan,nan
mac_1-0-3,0.114032,84.32,nan,nan
mac_1-1-0,0.198529,120.50,nan,nan
mac_1-1-1,0.192004,194.71,nan,nan
mac_1-1-2,0.197059,100.55,nan,nan
mac_1-2-0,0.038113,128.21,nan,nan
mac_1-2-1,0.036183,173.43,nan,nan
mac_2-0-0,0.116483,88.05,nan,nan
mac_2-0-1,0.111734,172.37,nan,nan
mac_2-0-2,0.264767,82.73,nan,nan
mac_2-1-0,0.150092,122.63,nan,nan
mac_2-1-1,0.133793,209.34,nan,nan
mac_2-1-2,0.302512,118.37,nan,nan
mac_2-2-0,0.212347,103.21,nan,nan
mac_2-2-1,0.211520,183.81,nan,nan
mac_2-2-2,0.199939,71.02,nan,nan
mac_2-2-3,0.197059,100.81,nan,nan
mac_3-0-0,0.213051,75.81,nan,nan
mac_3-0-1,0.210355,156.41,nan,nan
mac_3-0-2,0.209804,60.12,nan,nan
mac_3-0-3,0.199939,72.09,nan,nan
mac_3-1-0,0.110509,116.51,nan,nan
mac_3-1-1,0.112960,174.76,nan,nan
mac_3-1-2,0.263419,83.79,nan,nan
mac_3-2-0,0.261183,171.04,nan,nan
mac_3-2-1,0.214216,65.70,nan,nan
mac_4-0-0,0.219363,63.84,nan,nan
mac_4-0-1,0.215533,144.44,nan,nan
mac_4-0-2,0.240196,60.12,nan,nan
mac_4-0-3,0.209804,59.05,nan,nan
mac_4-1-0,0.218811,65.44,nan,nan
mac_4-1-1,0.219975,155.61,nan,nan
mac_4-1-2,0.214216,65.70,nan,nan
mac_4-2-0,0.213051,75.81,nan,nan
mac_4-2-1,0.210355,156.41,nan,nan
mac_5-0-0,0.219363,61.98,nan,nan
mac_5-0-1,0.215533,142.58,nan,nan
mac_5-0-2,0.240196,59.05,nan,nan
mac_5-0-3,0.213480,55.86,nan,nan
mac_5-1-0,0.246569,63.84,nan,nan
mac_5-1-1,0.246262,144.44,nan,nan
mac_5-1-2,0.271569,60.12,nan,nan
mac_5-2-0,0.212377,59.58,nan,nan
mac_5-2-1,0.224786,146.57,nan,nan
mac_6-0-0,0.218505,61.71,nan,nan
mac_6-0-1,0.219485,142.31,nan,nan
mac_6-0-2,0.243444,55.86,nan,nan
mac_6-1-0,0.212377,59.58,nan,nan
mac_6-1-1,0.221783,144.44,nan,nan
mac_6-1-2,0.245343,59.58,nan,nan
mac_6-1-3,0.212377,59.32,nan,nan
mac_6-2-0,0.224786,147.10,nan,nan
mac_6-2-1,0.246569,61.98,nan,nan
mac_7-0-0,0.212377,59.32,nan,nan
mac_7-0-1,0.221783,144.70,nan,nan
mac_7-0-2,0.245343,59.32,nan,nan
mac_7-0-3,0.217555,58.52,nan,nan
mac_7-1-0,0.215625,40.96,nan,nan
mac_7-1-1,0.221783,144.44,nan,nan
mac_7-1-2,0.245343,59.58,nan,nan
mac_7-2-0,0.250827,61.71,nan,nan
mac_7-2-1,0.249081,142.31,nan,nan
mac_7-2-2,0.274816,55.86,nan,nan
mac_8-0-0,0.217586,38.84,nan,nan
mac_8-0-1,0.226256,98.15,nan,nan
mac_8-0-2,0.246752,40.96,nan,nan
mac_8-0-3,0.215625,39.10,nan,nan
mac_8-1-0,0.221783,145.24,nan,nan
mac_8-1-1,0.245343,59.32,nan,nan
mac_8-1-2,0.217555,58.52,nan,nan
mac_8-2-0,0.216513,145.50,nan,nan
mac_8-2-1,0.249265,58.52,nan,nan
mac_9-0-0,0.217586,36.44,nan,nan
mac_9-0-1,0.226256,97.36,nan,nan
mac_9-0-2,0.246752,39.10,nan,nan
mac_9-0-3,0.218581,39.63,nan,nan
mac_9-1-0,0.219884,32.45,nan,nan
mac_9-1-1,0.223698,55.59,nan,nan
mac_9-1-2,0.247947,38.84,nan,nan
mac_9-2-0,0.256924,97.09,nan,nan
mac_9-2-1,0.275980,40.96,nan,nan
mac_10-0-0,0.219884,32.45,nan,nan
mac_10-0-1,0.228998,53.20,nan,nan
mac_10-0-2,0.248652,32.45,nan,nan
mac_10-0-3,0.219884,32.45,nan,nan
mac_10-1-0,0.223698,55.86,nan,nan
mac_10-1-1,0.247947,36.44,nan,nan
mac_10-1-2,0.220481,35.64,nan,nan
mac_10-2-0,0.220650,99.22,nan,nan
mac_10-2-1,0.249112,39.63,nan,nan
mac_11-0-0,0.218413,35.91,nan,nan
mac_11-0-1,0.228998,53.20,nan,nan
mac_11-0-2,0.248652,32.45,nan,nan
mac_11-0-3,0.219884,32.45,nan,nan
mac_11-1-0,0.228998,53.47,nan,nan
mac_11-1-1,0.248652,32.45,nan,nan
mac_11-1-2,0.219884,32.45,nan,nan
mac_11-2-0,0.218122,53.20,nan,nan
mac_11-2-1,0.250383,35.64,nan,nan
mac_12-0-0,0.218413,34.85,nan,nan
mac_12-0-1,0.228998,53.47,nan,nan
mac_12-0-2,0.248652,32.45,nan,nan
mac_12-0-3,0.219884,32.45,nan,nan
mac_12-1-0,0.220021,53.47,nan,nan
mac_12-1-1,0.248652,32.45,nan,nan
mac_12-2-0,0.226011,51.87,nan,nan
mac_12-2-1,0.247886,35.91,nan,nan
mac_13-0-0,0.219347,34.05,nan,nan
mac_13-0-1,0.220021,53.47,nan,nan
mac_13-0-2,0.248652,32.45,nan,nan
mac_13-1-0,0.226011,50.27,nan,nan
mac_13-1-1,0.247886,34.85,nan,nan
mac_13-2-0,0.259674,53.47,nan,nan
mac_13-2-1,0.278033,32.45,nan,nan
mac_14-0-0,0.218290,50.81,nan,nan
mac_14-0-1,0.248667,34.05,nan,nan
mac_14-1-0,0.248729,52.40,nan,nan
mac_14-1-1,0.278033,32.45,nan,nan
mac_14-2-0,0.256832,50.27,nan,nan
mac_14-2-1,0.277696,34.85,nan,nan
mac_15-0-0,0.248162,51.87,nan,nan
mac_15-0-1,0.278186,34.05,nan,nan
mac_15-1-0,0.280913,53.47,nan,nan
mac_15-1-1,0.313664,31.39,nan,nan
mac_15-2-0,0.282246,50.27,nan,nan
mac_15-2-1,0.313266,33.78,nan,nan
mac_16-0-0,0.278830,50.81,nan,nan
mac_16-0-1,0.313710,32.98,nan,nan
mac_16-1-0,0.313787,52.40,nan,nan
mac_16-2-0,0.321201,50.54,nan,nan
mac_17-0-0,0.313741,51.07,nan,nan
mac_17-1-0,0.278830,50.54,nan,nan
mac_17-2-0,0.321201,53.47,nan,nan
mac_18-0-0,0.282322,40.17,nan,nan
mac_18-0-1,0.313741,50.81,nan,nan
mac_18-2-0,0.320672,39.10,nan,nan
