Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,97.89,nan,nan,Org
0,0.130392,96.03,nan,nan,mac_0-0-3
1,0.114032,84.32,nan,nan,mac_1-0-3
2,0.199939,71.02,nan,nan,mac_2-2-2
3,0.209804,60.12,nan,nan,mac_3-0-2
4,0.209804,59.05,nan,nan,mac_4-0-3
5,0.213480,55.86,nan,nan,mac_5-0-3
6,0.212377,59.32,nan,nan,mac_6-1-3
7,0.215625,40.96,nan,nan,mac_7-1-0
8,0.215625,39.10,nan,nan,mac_8-0-3
9,0.219884,32.45,nan,nan,mac_9-1-0
10,0.219884,32.45,nan,nan,mac_10-0-0
11,0.219884,32.45,nan,nan,mac_11-0-3
12,0.219884,32.45,nan,nan,mac_12-0-3
13,0.219347,34.05,nan,nan,mac_13-0-0
14,0.248667,34.05,nan,nan,mac_14-0-1
15,0.278186,34.05,nan,nan,mac_15-0-1
16,0.313710,32.98,nan,nan,mac_16-0-1
17,0.278830,50.54,nan,nan,mac_17-1-0
18,0.282322,40.17,nan,nan,mac_18-0-0
19,0.282322,40.17,nan,nan,mac_19-0-0
20,0.282054,17.02,nan,nan,mac_20-0-0
21,0.282556,5.85,nan,nan,mac_21-0-0
22,0.315223,4.79,nan,nan,mac_22-0-0
