Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,1050.70,nan,nan
adder_0-0-0,0.001859,970.37,nan,4720.780000
adder_0-0-1,0.003814,949.89,nan,4715.190000
adder_0-0-2,0.001995,980.21,nan,4723.350000
adder_0-0-3,0.003819,943.77,nan,4720.680000
adder_0-0-4,0.001992,975.42,nan,4736.190000
adder_0-0-5,0.001991,834.18,nan,4954.440000
adder_0-0-6,0.001942,972.50,nan,4732.380000
adder_0-0-7,0.002011,1002.02,nan,4533.190000
adder_0-0-8,0.003812,836.04,nan,5191.530000
adder_0-0-9,0.003750,961.32,nan,4586.120000
adder_0-0-10,0.001898,983.93,nan,4606.640000
adder_0-0-11,0.002005,981.54,nan,4618.050000
adder_0-0-12,0.001902,979.68,nan,4644.610000
adder_0-0-13,0.001838,979.15,nan,4574.160000
adder_0-0-14,0.001923,843.49,nan,5188.830000
adder_0-0-15,0.002019,860.24,nan,5096.900000
adder_0-0-16,0.006587,820.61,nan,5082.330000
adder_0-0-17,0.003812,813.16,nan,5259.230000
adder_0-0-18,0.002029,873.54,nan,5062.050000
adder_0-0-19,0.007838,870.62,nan,4283.540000
adder_0-0-20,0.003740,833.64,nan,5035.520000
adder_0-0-21,0.003717,854.39,nan,4854.440000
adder_0-0-22,0.001961,904.40,nan,5008.470000
adder_0-0-23,0.001944,981.27,nan,4879.730000
adder_0-0-24,0.001974,843.49,nan,5170.200000
adder_0-0-25,0.004000,892.70,nan,4866.250000
adder_0-0-26,0.001885,858.12,nan,5138.540000
adder_0-0-27,0.001842,903.07,nan,4988.470000
adder_1-0-0,0.003850,842.16,nan,4931.140000
adder_1-0-1,0.005805,979.68,nan,4618.940000
adder_1-0-2,0.003986,1008.67,nan,4594.030000
adder_1-0-3,0.005809,812.36,nan,5034.600000
adder_1-0-4,0.003950,938.45,nan,4854.360000
adder_1-0-5,0.009646,807.84,nan,5112.210000
adder_1-0-6,0.003930,866.36,nan,4920.440000
adder_1-0-7,0.004002,892.70,nan,4676.740000
adder_1-0-8,0.005802,875.14,nan,4924.350000
adder_1-0-9,0.005741,1040.59,nan,4373.110000
adder_1-0-10,0.003888,888.97,nan,4765.400000
adder_1-0-11,0.003995,887.91,nan,4731.660000
adder_1-0-12,0.003893,957.33,nan,4647.560000
adder_1-0-13,0.003829,884.18,nan,4722.360000
adder_1-0-14,0.003914,947.49,nan,4674.720000
adder_1-0-15,0.004010,954.14,nan,4646.280000
adder_1-0-16,0.008578,962.12,nan,4544.060000
adder_1-0-17,0.005802,830.72,nan,4968.650000
adder_1-0-18,0.004019,911.05,nan,4772.450000
adder_1-0-19,0.009829,856.25,nan,4148.290000
adder_1-0-20,0.005730,862.64,nan,4886.060000
adder_1-0-21,0.005708,904.67,nan,4741.610000
adder_1-0-22,0.003952,930.73,nan,4898.130000
adder_1-0-23,0.003935,872.21,nan,5047.400000
adder_1-0-24,0.003965,952.55,nan,4848.860000
adder_1-0-25,0.005991,874.08,nan,4792.140000
adder_1-0-26,0.003876,912.38,nan,4887.160000
adder_1-0-27,0.003833,925.15,nan,4781.760000
adder_1-1-0,0.003782,883.12,nan,4955.370000
adder_1-1-1,0.005737,862.64,nan,4950.180000
adder_1-1-2,0.003919,892.96,nan,4958.340000
adder_1-1-3,0.005742,856.52,nan,4955.670000
adder_1-1-4,0.003916,888.17,nan,4971.180000
adder_1-1-5,0.003865,885.25,nan,4966.970000
adder_1-1-6,0.003934,922.75,nan,4760.970000
adder_1-1-7,0.005735,882.59,nan,5022.230000
adder_1-1-8,0.005674,874.08,nan,4802.400000
adder_1-1-9,0.003821,896.69,nan,4834.760000
adder_1-1-10,0.003928,894.29,nan,4837.730000
adder_1-1-11,0.003826,892.43,nan,4879.600000
adder_1-1-12,0.003761,891.90,nan,4791.710000
adder_1-1-13,0.005612,829.39,nan,5165.230000
adder_1-1-14,0.003950,879.40,nan,5102.220000
adder_1-1-15,0.008502,811.83,nan,5108.070000
adder_1-1-16,0.005734,819.28,nan,5254.450000
adder_1-1-17,0.003952,870.09,nan,5033.590000
adder_1-1-18,0.009759,871.95,nan,4283.540000
adder_1-1-19,0.005663,843.49,nan,4978.140000
adder_1-1-20,0.005640,880.19,nan,4772.340000
adder_1-1-21,0.003884,855.72,nan,5071.210000
adder_1-1-22,0.003867,873.81,nan,5109.330000
adder_1-1-23,0.003898,873.28,nan,5069.160000
adder_1-1-24,0.005923,828.32,nan,4970.630000
adder_1-1-25,0.003809,875.94,nan,5021.780000
adder_1-1-26,0.003765,841.36,nan,5064.470000
adder_1-2-0,0.003833,932.06,nan,4925.610000
adder_1-2-1,0.005788,871.15,nan,4955.190000
adder_1-2-2,0.003970,902.01,nan,4947.480000
adder_1-2-3,0.005793,864.77,nan,4948.400000
adder_1-2-4,0.003967,896.42,nan,4971.070000
adder_1-2-5,0.003916,883.92,nan,4986.570000
adder_1-2-6,0.003985,925.95,nan,4895.100000
adder_1-2-7,0.005786,929.40,nan,4943.960000
adder_1-2-8,0.005725,878.07,nan,5028.240000
adder_1-2-9,0.003872,920.63,nan,4990.360000
adder_1-2-10,0.003979,920.36,nan,4904.560000
adder_1-2-11,0.003877,883.65,nan,5035.600000
adder_1-2-12,0.003812,916.37,nan,4951.880000
adder_1-2-13,0.003994,869.55,nan,5040.400000
adder_1-2-14,0.008561,872.21,nan,4909.000000
adder_1-2-15,0.005786,814.23,nan,5201.710000
adder_1-2-16,0.004003,869.02,nan,5043.710000
adder_1-2-17,0.009812,857.85,nan,4280.470000
adder_1-2-18,0.005714,835.77,nan,5092.330000
adder_1-2-19,0.005691,938.71,nan,4801.980000
adder_1-2-20,0.003940,988.72,nan,4825.800000
adder_1-2-21,0.003924,891.90,nan,5087.900000
adder_1-2-22,0.005856,836.30,nan,5175.780000
