Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.000955,2158.59,nan,8205.350000
2,0.000981,2126.94,nan,8145.760000
3,0.001408,2074.53,nan,8095.350000
4,0.001891,2067.09,nan,8161.940000
5,0.001916,2041.82,nan,8207.270000
6,0.002865,2026.12,nan,5282.840000
7,0.003428,2015.22,nan,6580.550000
8,0.004409,2013.62,nan,6581.620000
9,0.004760,2027.72,nan,5291.430000
10,0.006423,1884.61,nan,5855.960000
11,0.006475,1884.61,nan,5846.810000
12,0.006684,1883.28,nan,5862.440000
13,0.006731,1775.55,nan,5966.830000
14,0.007567,1772.89,nan,7107.050000
15,0.008172,1770.76,nan,7113.070000
16,0.008621,1765.97,nan,5766.520000
