Name,Metric,Area(um^2),Power(uW),Delay(ns)
Org,0.000000,2296.38,nan,nan
max_0-0-0,0.003706,2288.13,nan,7086.910000
max_0-0-1,0.003848,2125.87,nan,8114.660000
max_0-0-2,0.000955,2158.59,nan,8205.350000
max_0-0-3,0.001946,2128.53,nan,8139.000000
max_0-0-4,0.001931,2126.94,nan,8115.730000
max_0-0-5,0.003851,2131.72,nan,8128.450000
max_0-0-6,0.001916,2041.82,nan,8207.270000
max_0-0-7,0.001934,2128.53,nan,8139.000000
max_0-0-8,0.001686,2137.84,nan,8146.570000
max_0-0-9,0.003792,2125.87,nan,8118.220000
max_0-0-10,0.000944,2319.79,nan,6996.320000
max_0-0-12,0.001898,2070.54,nan,8165.420000
max_0-0-13,0.003845,2133.85,nan,8100.770000
max_0-0-14,0.001940,2155.93,nan,8211.020000
max_0-0-15,0.001905,2072.14,nan,8122.370000
max_0-0-16,0.003859,2125.34,nan,8119.280000
max_0-0-17,0.003031,2168.43,nan,6954.830000
max_0-0-18,0.001434,2380.17,nan,7090.700000
max_0-0-19,0.001408,2074.53,nan,8095.350000
max_0-0-20,0.001874,2312.87,nan,6981.780000
max_0-0-21,0.001644,2096.08,nan,8192.820000
max_0-0-22,0.003802,2128.27,nan,8129.900000
max_0-0-23,0.001927,2126.67,nan,8114.790000
max_0-0-24,0.001688,2133.59,nan,8124.160000
max_0-0-25,0.001688,2118.42,nan,8134.500000
max_0-0-26,0.001934,2246.90,nan,6899.970000
max_0-0-27,0.003415,2048.73,nan,6766.520000
max_0-0-28,0.001922,2161.78,nan,8203.310000
max_0-0-29,0.003409,2050.86,nan,6751.430000
max_0-0-30,0.001482,2133.05,nan,8151.280000
max_0-0-31,0.003854,2125.34,nan,8115.530000
max_0-0-32,0.003715,2115.50,nan,8061.080000
max_0-0-33,0.001893,2142.10,nan,8123.680000
max_0-0-34,0.001931,2232.80,nan,6928.850000
max_0-0-35,0.001870,2129.86,nan,8144.680000
max_0-0-36,0.003830,2339.74,nan,6728.230000
max_0-0-37,0.001911,2071.87,nan,8117.720000
max_0-0-38,0.003849,2125.34,nan,8123.330000
max_0-0-39,0.003799,2148.22,nan,8111.730000
max_0-0-40,0.000981,2126.94,nan,8145.760000
max_0-0-41,0.001682,2172.69,nan,8145.520000
max_0-0-42,0.003753,2133.59,nan,8147.630000
max_0-0-43,0.002354,2285.47,nan,6707.950000
max_0-0-44,0.001432,2254.62,nan,8148.790000
max_0-0-45,0.001936,2301.17,nan,6860.470000
max_0-0-46,0.001735,2185.46,nan,8113.100000
max_0-0-47,0.001429,2117.63,nan,8219.210000
max_0-0-48,0.003875,2196.36,nan,8102.290000
max_0-0-49,0.001962,2142.63,nan,8118.780000
max_0-0-50,0.003550,2182.53,nan,6959.990000
max_0-0-51,0.001914,2191.57,nan,6968.900000
max_0-0-52,0.001691,2340.27,nan,6837.730000
max_0-0-53,0.003863,2125.87,nan,8138.220000
max_0-0-54,0.003810,2067.09,nan,8123.660000
max_0-0-55,0.001891,2067.09,nan,8161.940000
max_0-0-56,0.001876,2117.36,nan,8116.260000
max_0-0-57,0.002940,2141.03,nan,6741.450000
max_0-0-58,0.003764,2178.54,nan,6841.770000
max_0-0-59,0.004071,2125.87,nan,8268.610000
max_0-0-60,0.006649,2284.94,nan,6732.740000
max_0-0-61,0.005008,2200.62,nan,6892.420000
max_0-0-62,0.001937,2402.78,nan,6998.310000
max_0-0-63,0.000481,2351.44,nan,8158.200000
max_0-0-64,0.003784,2128.80,nan,8129.220000
max_0-0-65,0.003666,2125.34,nan,8127.590000
max_0-0-66,0.001993,2067.35,nan,8112.970000
max_0-0-67,0.002007,2126.14,nan,8129.450000
max_0-0-68,0.003835,2124.54,nan,8124.330000
max_0-0-69,0.001895,2129.60,nan,8141.480000
max_0-0-70,0.003825,2127.73,nan,8117.910000
max_0-0-71,0.001965,2230.94,nan,8160.500000
max_0-0-72,0.001972,2124.54,nan,8131.350000
max_0-0-73,0.001923,2189.71,nan,6802.620000
max_0-0-74,0.003428,2015.22,nan,6580.550000
max_0-0-75,0.001957,2185.72,nan,6865.690000
